title,description,imageUrl,price,rating,storeName
"HP OPPO F1S RAM 4/32GB GARANSI RESMI INDONESIA",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp735.000,0,"kualitas asuransi"
"hp samsung e1272 termurah original jadul samsung lipat dual sim",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp152.100,0,"Little Master.shop"
"Apple iPhone XR 128gb BH 100% MULUS 99% Fullset 3Utools ijo like new",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp4.850.000,0,"Life Technology"
"Xiaomi Redmi 2 1/8 4G Garansi 1 Tahun",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp375.000,0,happystore95
"IPHONE 8 SECOND",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp2.800.000,0,"sun mobile"
"Iphone 11 128GB Garansi Resmi TAM / Ibox",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp10.499.000,0,"PT Pratama Sntra Semesta"
"Iphone XR Garansi Resmi Ibox",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp8.249.000,0,"PT Pratama Sntra Semesta"
"SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp2.899.900,0,"Shopyz ID"
"Samsung Galaxy A52 8/128 8/256 GB Kamera 4K RAM 8 ROM 128 256 Resmi",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp5.200.000,0,SUPER_GADGET
"Samsung Galaxy A32 5G RAM 8 ROM 128 8GB 128GB Smartphone Resmi SEIN",,"https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HhHA1NoAjFbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yp6AnhopK7oaFiyRCsUstRHAnDUMVj9RosQR-BUstpop1XoAKNosnd6_jhHpepoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_e7_7zg8jY1yp-ozcPE_S2CH7OJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk_9uo8MPd_M2z81N1z9BozcHp_320HJN2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq122_3OuHOB1__zo1pCN3jPgoJh11_Vo8jO73uzo8JY_HIB6qB-W3926qu29z_oouJB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_S2uP1NJgpu6qjJ7_Oz08JOE1926q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_BH78JOJe9P6qBJ7_92SoJNkgRx617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHp1hHpjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstpwe?src=directory&t=desktop&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkualitasasuransi%2Fhp-oppo-f1s-ram-4-32gb-garansi-resmi-indonesia-gold%3Fsrc%3Dtopads&ob=100&dv=desktop",Rp3.850.000,0,SUPER_GADGET
